Date,Returns,vol,vol_rolling_252,aic_garch,aic_gjr_normal,aic_gjr_tStudent,min_AIC,color_AIC
2018-06-12,0.17433852107295866,0.17433852107295866,,,,,,
2018-06-13,-0.4026127868587581,0.4026127868587581,,,,,,
2018-06-14,0.24715497784340013,0.24715497784340013,,,,,,
2018-06-15,-0.10171027155291279,0.10171027155291279,,,,,,
2018-06-18,-0.21261277624770036,0.21261277624770036,,,,,,
2018-06-19,-0.40234022927012614,0.40234022927012614,,,,,,
2018-06-20,0.17121542893725472,0.17121542893725472,,,,,,
2018-06-21,-0.634551051558363,0.634551051558363,,,,,,
2018-06-22,0.18619345065375992,0.18619345065375992,,,,,,
2018-06-25,-1.372466897341429,1.372466897341429,,,,,,
2018-06-26,0.22045770199761172,0.22045770199761172,,,,,,
2018-06-27,-0.8604355128821406,0.8604355128821406,,,,,,
2018-06-28,0.617868985946779,0.617868985946779,,,,,,
2018-06-29,0.07584033300001014,0.07584033300001014,,,,,,
2018-07-02,0.3067957412152822,0.3067957412152822,,,,,,
2018-07-03,-0.4947350626812508,0.4947350626812508,,,,,,
2018-07-05,0.8620803683933698,0.8620803683933698,,,,,,
2018-07-06,0.8481281595267509,0.8481281595267509,,,,,,
2018-07-09,0.8822985887661616,0.8822985887661616,,,,,,
2018-07-10,0.34732671808721527,0.34732671808721527,,,,,,
2018-07-11,-0.7094202866254395,0.7094202866254395,,,,,,
2018-07-12,0.8749042674663476,0.8749042674663476,,,,,,
2018-07-13,0.10792374947172778,0.10792374947172778,,,,,,
2018-07-16,-0.10281357268162594,0.10281357268162594,,,,,,
2018-07-17,0.39736986307106203,0.39736986307106203,,,,,,
2018-07-18,0.21605126279604647,0.21605126279604647,,,,,,
2018-07-19,-0.3952993120477366,0.3952993120477366,,,,,,
2018-07-20,-0.09484477101512345,0.09484477101512345,,,,,,
2018-07-23,0.18380494891383492,0.18380494891383492,,,,,,
2018-07-24,0.4780911145920941,0.4780911145920941,,,,,,
2018-07-25,0.9101605057601381,0.9101605057601381,,,,,,
2018-07-26,-0.3032296024287562,0.3032296024287562,,,,,,
2018-07-27,-0.6562208692121874,0.6562208692121874,,,,,,
2018-07-30,-0.5754170294583694,0.5754170294583694,,,,,,
2018-07-31,0.4884728797982518,0.4884728797982518,,,,,,
2018-08-01,-0.10403515262921159,0.10403515262921159,,,,,,
2018-08-02,0.4926444803378116,0.4926444803378116,,,,,,
2018-08-03,0.46441830098788994,0.46441830098788994,,,,,,
2018-08-06,0.3538227451535869,0.3538227451535869,,,,,,
2018-08-07,0.2824182256500496,0.2824182256500496,,,,,,
2018-08-08,-0.02623799656497061,0.02623799656497061,,,,,,
2018-08-09,-0.14416744645253665,0.14416744645253665,,,,,,
2018-08-10,-0.7113887913549832,0.7113887913549832,,,,,,
2018-08-13,-0.4005992185345919,0.4005992185345919,,,,,,
2018-08-14,0.6389254777278586,0.6389254777278586,,,,,,
2018-08-15,-0.7602164835758152,0.7602164835758152,,,,,,
2018-08-16,0.7919408484583057,0.7919408484583057,,,,,,
2018-08-17,0.33231157222237684,0.33231157222237684,,,,,,
2018-08-20,0.24280177746816012,0.24280177746816012,,,,,,
2018-08-21,0.20685364303660858,0.20685364303660858,,,,,,
2018-08-22,-0.039815177078017516,0.039815177078017516,,,,,,
2018-08-23,-0.16912621251568005,0.16912621251568005,,,,,,
2018-08-24,0.6198839704363079,0.6198839704363079,,,,,,
2018-08-27,0.7670409427648961,0.7670409427648961,,,,,,
2018-08-28,0.02692783264979237,0.02692783264979237,,,,,,
2018-08-29,0.5701434129840033,0.5701434129840033,,,,,,
2018-08-30,-0.4430329054144866,0.4430329054144866,,,,,,
2018-08-31,0.013447750859452157,0.013447750859452157,,,,,,
2018-09-04,-0.1654322146950271,0.1654322146950271,,,,,,
2018-09-05,-0.28031266843163705,0.28031266843163705,,,,,,
2018-09-06,-0.3652305086013885,0.3652305086013885,,,,,,
2018-09-07,-0.2213344827027508,0.2213344827027508,,,,,,
2018-09-10,0.18978268127418652,0.18978268127418652,,,,,,
2018-09-11,0.3739841510075115,0.3739841510075115,,,,,,
2018-09-12,0.03566719422118947,0.03566719422118947,,,,,,
2018-09-13,0.528225432974816,0.528225432974816,,,,,,
2018-09-14,0.027548183892234235,0.027548183892234235,,,,,,
2018-09-17,-0.5569722252619203,0.5569722252619203,,,,,,
2018-09-18,0.536901464395978,0.536901464395978,,,,,,
2018-09-19,0.12532727238814267,0.12532727238814267,,,,,,
2018-09-20,0.7840591898403027,0.7840591898403027,,,,,,
2018-09-21,-0.03685330120276609,0.03685330120276609,,,,,,
2018-09-24,-0.35156877607932513,0.35156877607932513,,,,,,
2018-09-25,-0.13050961134796202,0.13050961134796202,,,,,,
2018-09-26,-0.32892781139468585,0.32892781139468585,,,,,,
2018-09-27,0.2763287087559574,0.2763287087559574,,,,,,
2018-09-28,-0.0006870120538793323,0.0006870120538793323,,,,,,
2018-10-01,0.36411051184239707,0.36411051184239707,,,,,,
2018-10-02,-0.03966902079042267,0.03966902079042267,,,,,,
2018-10-03,0.07115197468861023,0.07115197468861023,,,,,,
2018-10-04,-0.8169482334348555,0.8169482334348555,,,,,,
2018-10-05,-0.5527978766503461,0.5527978766503461,,,,,,
2018-10-08,-0.03951166292102126,0.03951166292102126,,,,,,
2018-10-09,-0.14179036575431292,0.14179036575431292,,,,,,
2018-10-10,-3.28642290012785,3.28642290012785,,,,,,
2018-10-11,-2.0573007617342265,2.0573007617342265,,,,,,
2018-10-12,1.4206197825152422,1.4206197825152422,,,,,,
